Date,prediction_score,prediction_label,Close,cumulative_profit
2024-11-01,0.5161,sell,224.86348,-98.08138880280971
2024-11-04,0.4392,hold,221.87738,-98.08138880280971
2024-11-05,0.4394,sell,220.98154,-98.08138880280971
2024-11-06,0.7165,sell,222.41489,-98.08138880280971
2024-11-07,0.6069,buy,221.68826,236.2434064412081
2024-11-08,0.395,hold,226.42621,236.2434064412081
2024-11-11,0.6206,sell,226.15717,236.2434064412081
2024-11-12,0.4705,buy,223.43683,248.27193053293578
2024-11-13,0.4936,buy,223.43683,248.27193053293578
2024-11-14,0.428,sell,224.32367,252.24102025648992
2024-11-15,0.4939,sell,227.4127,252.24102025648992
2024-11-18,0.3914,hold,224.20409,252.24102025648992
2024-11-19,0.6089,sell,227.21341,252.24102025648992
2024-11-20,0.7604,sell,227.47249,252.24102025648992
2024-11-21,0.7786,sell,228.18994,252.24102025648992
2024-11-22,0.5454,hold,227.71164,252.24102025648992
2024-11-25,0.5273,hold,229.05687,252.24102025648992
2024-11-26,0.5226,hold,232.04625,252.24102025648992
2024-11-27,0.5702,hold,234.2285,252.24102025648992
2024-11-29,0.5017,hold,234.09897,252.24102025648992
2024-12-02,0.5604,hold,236.49048,252.24102025648992
2024-12-03,0.5206,hold,238.74248,252.24102025648992
2024-12-04,0.4324,hold,241.79166,252.24102025648992
2024-12-05,0.8286,hold,242.15038,252.24102025648992
2024-12-06,0.7488,hold,242.18028,252.24102025648992
2024-12-09,0.6055,hold,241.98099,252.24102025648992
2024-12-10,0.679,hold,245.87715,252.24102025648992
2024-12-11,0.5569,hold,246.89355,252.24102025648992
2024-12-12,0.7643,hold,245.61807,252.24102025648992
2024-12-13,0.852,hold,247.0829,252.24102025648992
2024-12-16,0.93,hold,247.25227,252.24102025648992
2024-12-17,0.7686,hold,250.15198,252.24102025648992
2024-12-18,0.5793,hold,252.58334,252.24102025648992
2024-12-19,0.6125,sell,247.17256,252.24102025648992
2024-12-20,0.5348,sell,248.9064,252.24102025648992
2024-12-23,0.4892,sell,253.58978,252.24102025648992
2024-12-24,0.4763,hold,254.36703,252.24102025648992
2024-12-26,0.544,hold,257.28665,252.24102025648992
2024-12-27,0.557,sell,258.10373,252.24102025648992
2024-12-30,0.4412,sell,254.68588,252.24102025648992
2024-12-31,0.4284,hold,251.30788,252.24102025648992
2025-01-02,0.3813,hold,249.53418,252.24102025648992
2025-01-03,0.4369,sell,242.98743,252.24102025648992
2025-01-06,0.4944,hold,242.49915,252.24102025648992
2025-01-07,0.5684,hold,244.13335,252.24102025648992
2025-01-08,0.4871,sell,241.35323,252.24102025648992
2025-01-10,0.4325,sell,241.84148,252.24102025648992
2025-01-13,0.469,sell,236.01218,252.24102025648992
