Date,Close,Volume,Low,High,Open
,AAPL,AAPL,AAPL,AAPL,AAPL
1980-12-12,0.09848486632108688,469033600,0.09848486632108688,0.09891303762908514,0.09848486632108688
1980-12-15,0.09334684908390045,175884800,0.09334684908390045,0.09377502038474124,0.09377502038474124
1980-12-16,0.08649539202451706,105728000,0.08649539202451706,0.08692355762862244,0.08692355762862244
1980-12-17,0.08863624185323715,86441600,0.08863624185323715,0.08906441322448744,0.08863624185323715
1980-12-18,0.09120602160692215,73449600,0.09120602160692215,0.09163418724648455,0.09120602160692215
1980-12-19,0.09677215665578842,48630400,0.09677215665578842,0.0972003278050905,0.09677215665578842
1980-12-22,0.10148201882839203,37363200,0.10148201882839203,0.10191095606968058,0.10148201882839203
1980-12-23,0.1057644635438919,46950400,0.1057644635438919,0.10619263470874449,0.1057644635438919
1980-12-24,0.11133067309856415,48003200,0.11133067309856416,0.11175884433538877,0.11133067309856416
1980-12-26,0.1216074675321579,55574400,0.12160746753215788,0.12203563872416867,0.12160746753215788
1980-12-29,0.12332012504339218,93161600,0.12332012504339218,0.12374829618046591,0.12332012504339218
1980-12-30,0.12032295763492584,68880000,0.12032295763492584,0.12075111736528156,0.12075111736528156
1980-12-31,0.11689765006303787,35750400,0.11689765006303787,0.11732582136984344,0.11732582136984344
1981-01-02,0.11818210035562515,21660800,0.11818210035562515,0.11903844259104258,0.11818210035562515
1981-01-05,0.11561313271522522,35728000,0.11561313271522522,0.11604129253293145,0.11604129253293145
1981-01-06,0.11047434061765671,45158400,0.11047434061765671,0.11090251189321071,0.11090251189321071
1981-01-07,0.1057644635438919,55686400,0.1057644635438919,0.10619263470874449,0.10619263470874449
1981-01-08,0.1036236584186554,39827200,0.1036236584186554,0.10405181826444392,0.10405181826444392
1981-01-09,0.10918982326984406,21504000,0.10918982326984406,0.10961799448675348,0.10918982326984406
1981-01-12,0.1083335131406784,23699200,0.1083335131406784,0.10918984430541134,0.10918984430541134
1981-01-13,0.10447996854782104,23049600,0.10447996854782104,0.1049081397416245,0.1049081397416245
1981-01-14,0.10490816086530685,14291200,0.10490816086530685,0.10533633214532431,0.10490816086530685
1981-01-15,0.10704900324344635,14067200,0.10704900324344635,0.1079053343487187,0.10704900324344635
1981-01-16,0.10619261860847473,13395200,0.10619261860847473,0.10662078970841064,0.10662078970841064
1981-01-19,0.11261522769927979,41574400,0.11261522769927979,0.11304339913504527,0.11261522769927979
1981-01-20,0.10918982326984406,30083200,0.10918982326984406,0.10961799448675348,0.10961799448675348
1981-01-21,0.11133067309856415,15904000,0.11133067309856416,0.11218700413815359,0.11133067309856416
1981-01-22,0.11261522769927979,35548800,0.11261522769927979,0.11347157057081075,0.11261522769927979
1981-01-23,0.1121869906783104,11222400,0.1121869906783104,0.11304333304921835,0.11261516186376437
1981-01-26,0.11047434061765671,24640000,0.11047434061765671,0.11090251189321071,0.11090251189321071
1981-01-27,0.10961803048849106,23699200,0.10961803048849106,0.11047436176949468,0.11047436176949468
1981-01-28,0.10619261860847473,28156800,0.10619261860847473,0.10662078970841064,0.10662078970841064
1981-01-29,0.10233912616968155,43904000,0.10233912616968155,0.1027672973725088,0.1027672973725088
1981-01-30,0.09677215665578842,46188800,0.09677215665578842,0.09762849895439259,0.09762849895439259
1981-02-02,0.09120602160692215,23766400,0.09120602160692215,0.09163418724648455,0.09163418724648455
1981-02-03,0.0946313664317131,19152000,0.0946313664317131,0.09505953205697863,0.0946313664317131
1981-02-04,0.09805671125650406,27865600,0.09805671125650406,0.09848487115144045,0.09805671125650406
1981-02-05,0.09805671125650406,7929600,0.09805671125650406,0.09891304248043907,0.09805671125650406
1981-02-06,0.09848486632108688,13865600,0.09848486632108688,0.09891303762908514,0.09848486632108688
1981-02-09,0.09334684908390045,16755200,0.09334684908390045,0.09420318596855128,0.09420318596855128
1981-02-10,0.09334684908390045,18345600,0.09334684908390045,0.09377502038474124,0.09334684908390045
1981-02-11,0.09034962207078934,13843200,0.09034962207078934,0.09077778741397585,0.09077778741397585
1981-02-12,0.08949257433414459,14560000,0.08949257433414459,0.08992151176585902,0.08992151176585902
1981-02-13,0.0873517394065857,11155200,0.0873517394065857,0.0882080764343391,0.0882080764343391
1981-02-17,0.08949257433414459,12275200,0.08949257433414459,0.08992151176585902,0.08949257433414459
1981-02-18,0.09334684908390045,19241600,0.09334684908390045,0.09420318596855128,0.09334684908390045
1981-02-19,0.08777990192174911,22310400,0.08777990192174911,0.08820807327882446,0.08820807327882446
1981-02-20,0.08307002484798431,24371200,0.08307002484798431,0.08349819606873703,0.08349819606873703
1981-02-23,0.08435451239347458,14112000,0.08435451239347458,0.0847826835397,0.08435451239347458
1981-02-24,0.08135737478733063,16979200,0.08135737478733063,0.08221371175798274,0.08221371175798274
1981-02-25,0.08649539202451706,19488000,0.08649539202451706,0.08692355762862244,0.08649539202451706
1981-02-26,0.08777990192174911,10841600,0.08777990192174911,0.08820807327882446,0.08777990192174911
1981-02-27,0.09077781438827515,14761600,0.09077781438827515,0.09163415104613304,0.09077781438827515
1981-03-02,0.09120602160692215,11760000,0.09120602160692215,0.09163418724648455,0.09120602160692215
1981-03-03,0.0899214893579483,16172800,0.0899214893579483,0.09034966060075765,0.09034966060075765
1981-03-04,0.08906441181898117,13708800,0.08906441181898117,0.08949257746644299,0.08949257746644299
1981-03-05,0.08863624185323715,5376000,0.08863624185323715,0.08906441322448744,0.08906441322448744
1981-03-06,0.08777990192174911,11603200,0.08777990192174911,0.08863623891886832,0.08863623891886832
1981-03-09,0.0809292197227478,15321600,0.0809292197227478,0.08135738540543892,0.08135738540543892
1981-03-10,0.07707486301660538,28380800,0.07707486301660538,0.07750302830546447,0.07750302830546447
